epcho,loss,acc
927,0.039737,0.9875
928,0.04921174,0.990625
929,0.04263574,0.996875
930,0.044751413,0.99375
931,0.03836922,1.0
932,0.050628077,0.990625
933,0.047568757,0.99375
934,0.03787088,0.99375
935,0.03276996,1.0
936,0.051992964,0.98125
937,0.043274045,0.9875
938,0.0328639,1.0
939,0.03580044,0.99375
940,0.040354513,1.0
941,0.044232085,0.996875
942,0.05466794,0.98125
943,0.040849935,0.996875
944,0.051249254,0.99375
945,0.043731727,0.9875
946,0.041830413,0.984375
947,0.047339536,0.99375
948,0.045126833,0.98125
949,0.05566395,0.9875
950,0.061371468,0.98125
951,0.029596606,0.990625
952,0.035014506,0.99375
953,0.03678444,0.996875
954,0.03831319,0.99375
955,0.044305682,0.99375
956,0.045839522,0.996875
957,0.04046942,0.99375
958,0.0412925,1.0
959,0.049987316,0.990625
960,0.028081441,1.0
961,0.047709163,0.9875
962,0.036711693,0.990625
963,0.045812268,0.990625
964,0.031015009,1.0
965,0.045382995,0.996875
966,0.03554798,1.0
967,0.04527081,0.984375
968,0.052300997,0.98125
969,0.029185602,1.0
970,0.049845837,0.9875
971,0.041363038,0.9875
972,0.04231287,0.9875
973,0.03877642,0.990625
974,0.055716973,0.98125
975,0.029354746,1.0
976,0.03922542,0.996875
977,0.036943298,0.99375
978,0.034976512,1.0
979,0.027182188,1.0
980,0.037756544,0.996875
981,0.04334202,0.984375
982,0.03559887,0.996875
983,0.039017145,0.990625
984,0.039270777,0.99375
985,0.045512713,0.9875
986,0.035884015,0.996875
987,0.040885862,0.9875
988,0.03321395,0.996875
989,0.034688875,0.996875
990,0.047836732,1.0
991,0.04111374,0.99375
992,0.033650767,0.99375
993,0.03746278,0.996875
994,0.03764088,0.996875
995,0.035979174,0.990625
996,0.034100443,1.0
997,0.03963598,0.99375
998,0.03410729,0.996875
999,0.03903495,0.99375
1000,0.033009917,0.996875
1001,0.03338779,0.996875
1002,0.034222424,0.996875
1003,0.037267078,0.996875
1004,0.02240548,1.0
1005,0.021457857,1.0
1006,0.037581395,0.9875
1007,0.022941628,1.0
1008,0.038547896,1.0
1009,0.0365095,0.99375
1010,0.03575788,0.99375
1011,0.03192016,0.996875
1012,0.03130847,1.0
1013,0.040446468,0.990625
1014,0.028355863,1.0
1015,0.038717348,0.990625
1016,0.033592902,0.99375
1017,0.027015265,1.0
